business_unit_id,activity_type,quantity,unit,activity_date,source_ref
bu-5,business_travel_air,12489,km,2024-11-12,TRV-1186
bu-8,diesel,124.1,litres,2024-07-15,FUEL-1178
bu-6,business_travel_air,1763,km,2024-12-03,TRV-1261
bu-5,diesel,203,litres,2024-07-15,FUEL-1122
bu-3,purchased_goods_office_supplies,3712.32,GBP,2025-09-30,INV-1246
bu-8,electricity,3147.2,kWh,2024-10-22,MET-1072
bu-6,electricity,2715.9,kWh,2025-05-24,MET-1037
bu-6,electricity,2440,kWh,2025-08-20,MET-1040
bu-7,diesel,1178.9,litres,2024-12-08,FUEL-1156
bu-8,diesel,105.3,litres,2025-04-15,FUEL-1181
bu-5,electricity,4715.9,kWh,2024-05-18,MET-1004
bu-6,business_travel_air,7676,km,2025-08-12,TRV-1196
bu-6,electricity,2919.7,kWh,2024-12-14,MET-1032
bu-8,natural_gas,324.9,m3,2025-02-09,GAS-1118
bu-8,business_travel_air,10061,km,2024-08-12,TRV-1206
bu-4,purchased_goods_office_supplies,4537.8,GBP,2025-09-30,INV-1250
bu-7,diesel,1244.7,litres,2025-07-08,FUEL-1170
bu-7,electricity,5159.2,kWh,2024-07-22,MET-1048
bu-6,natural_gas,342.9,m3,2025-01-18,GAS-1099
bu-7,diesel,1210.8,litres,2024-10-08,FUEL-1152
bu-7,electricity,5526.9,kWh,2024-01-07,MET-1042
bu-5,diesel,176,litres,2024-01-15,FUEL-1120
bu-6,electricity,2740.6,kWh,2025-04-12,MET-1036
bu-6,natural_gas,316,m3,2024-12-15,GAS-1098
bu-7,electricity,5863.8,kWh,2024-11-17,MET-1052
bu-5,business_travel_air,6008,km,2024-06-09,TRV-1252
bu-7,diesel,988.7,litres,2025-02-22,FUEL-1161
bu-5,natural_gas,201.5,m3,2025-03-05,GAS-1092
bu-7,diesel,1394.3,litres,2024-06-08,FUEL-1144
bu-7,purchased_goods_office_supplies,1757.27,GBP,2025-08-28,INV-1231
bu-8,electricity,3227.2,kWh,2025-06-22,MET-1080
bu-7,business_travel_air,1289,km,2025-04-08,TRV-1270
bu-7,diesel,991.3,litres,2024-09-08,FUEL-1150
bu-7,purchased_goods_office_supplies,1714.66,GBP,2025-05-28,INV-1230
bu-6,business_travel_air,8448,km,2025-05-12,TRV-1195
bu-5,electricity,5186.7,kWh,2024-12-15,MET-1011
bu-5,purchased_goods_office_supplies,2927.4,GBP,2024-02-28,INV-1211
bu-5,business_travel_air,5817,km,2025-07-02,TRV-1257
bu-8,business_travel_air,2272,km,2025-04-08,TRV-1277
bu-8,diesel,127.5,litres,2025-07-15,FUEL-1182
bu-6,electricity,2609.9,kWh,2025-03-22,MET-1035
bu-7,diesel,1317.7,litres,2024-08-08,FUEL-1148
bu-5,electricity,4510.9,kWh,2025-05-11,MET-1016
bu-7,diesel,1255.4,litres,2025-03-22,FUEL-1163
bu-8,natural_gas,-180,m3,2024-12-10,GAS-1283
bu-8,electricity,3252.9,kWh,2025-09-13,MET-1083
bu-7,business_travel_air,1479,km,2024-12-03,TRV-1268
bu-8,electricity,3865.8,kWh,2025-02-23,MET-1076
bu-8,electricity,3241.3,kWh,2025-05-07,MET-1079
bu-5,electricity,4670.5,kWh,2024-06-13,MET-1005
bu-5,electricity,5247.8,kWh,2025-02-10,MET-1013
bu-7,business_travel_air,1227,km,2024-03-18,TRV-1265
bu-8,natural_gas,381.2,m3,2025-01-12,GAS-1117
bu-6,electricity,2779.9,kWh,2025-07-14,MET-1039
bu-7,electricity,4974.6,kWh,2024-08-05,MET-1049
bu-5,electricity,5932.3,kWh,2025-01-24,MET-1012
bu-7,business_travel_air,4070,km,2024-11-12,TRV-1200
bu-7,electricity,5607.8,kWh,2025-04-13,MET-1057
bu-5,natural_gas,235.1,m3,2024-10-09,GAS-1087
bu-7,electricity,4924.6,kWh,2025-06-06,MET-1059
bu-7,electricity,5063.2,kWh,2024-09-05,MET-1050
bu-5,diesel,203.8,litres,2024-04-15,FUEL-1121
bu-8,business_travel_air,2822,km,2025-01-17,TRV-1276
bu-6,electricity,2599.3,kWh,2024-06-11,MET-1026
bu-8,natural_gas,160.2,m3,2024-03-11,GAS-1113
bu-7,diesel,1304.6,litres,2025-02-08,FUEL-1160
bu-5,purchased_goods_office_supplies,2876.1,GBP,2025-08-28,INV-1217
bu-7,diesel,1316.4,litres,2025-04-08,FUEL-1164
bu-8,electricity,3592.3,kWh,2024-05-10,MET-1067
bu-5,diesel,180.4,litres,2024-10-15,FUEL-1123
bu-8,electricity,3173,kWh,2024-04-10,MET-1066
bu-5,electricity,4784.6,kWh,2025-03-09,MET-1014
bu-7,diesel,1367.8,litres,2024-02-08,FUEL-1136
bu-7,diesel,1143.2,litres,2024-05-08,FUEL-1142
bu-7,diesel,1352.4,litres,2024-04-22,FUEL-1141
bu-4,purchased_goods_office_supplies,5417.42,GBP,2025-03-30,INV-1249
bu-8,natural_gas,200.1,m3,2025-03-06,GAS-1119
bu-6,electricity,2532.9,kWh,2025-09-17,MET-1041
bu-5,electricity,4623.8,kWh,2024-10-16,MET-1009
bu-8,electricity,4001.3,kWh,2024-02-13,MET-1064
bu-6,natural_gas,157.5,m3,2024-11-12,GAS-1097
bu-5,electricity,5117.1,kWh,2024-11-15,MET-1010
bu-5,electricity,4677.7,kWh,2025-06-10,MET-1017
bu-8,electricity,3924.8,kWh,2024-12-22,MET-1074
bu-5,business_travel_air,16218,km,2025-02-12,TRV-1187
bu-6,electricity,2502.7,kWh,2024-08-22,MET-1028
bu-7,natural_gas,363.6,m3,2024-12-13,GAS-1107
bu-6,electricity,2523.6,kWh,2024-07-23,MET-1027
bu-3,purchased_goods_office_supplies,4407.56,GBP,2025-03-30,INV-1245
bu-8,diesel,116,litres,2024-01-15,FUEL-1176
bu-6,business_travel_air,1817,km,2024-03-18,TRV-1258
bu-5,electricity,4903.3,kWh,2024-09-14,MET-1008
bu-7,diesel,1056,litres,2025-01-08,FUEL-1158
bu-8,natural_gas,197.9,m3,2024-11-22,GAS-1115
bu-7,diesel,1369.1,litres,2025-09-08,FUEL-1174
bu-5,purchased_goods_office_supplies,3076.92,GBP,2024-11-28,INV-1214
bu-7,business_travel_air,3312,km,2024-08-12,TRV-1199
bu-5,natural_gas,238,m3,2024-11-24,GAS-1088
bu-7,diesel,1275.2,litres,2025-09-22,FUEL-1175
bu-5,natural_gas,472,m3,2024-02-22,GAS-1085
bu-7,business_travel_air,1916,km,2025-01-17,TRV-1269
bu-7,diesel,1105.5,litres,2024-07-08,FUEL-1146
bu-5,electricity,4560.6,kWh,2025-07-21,MET-1018
bu-8,business_travel_air,3456,km,2025-07-02,TRV-1278
bu-6,diesel,90.5,litres,2024-07-15,FUEL-1129
bu-7,purchased_goods_office_supplies,1949.18,GBP,2025-02-28,INV-1229
bu-7,diesel,1336.7,litres,2025-08-08,FUEL-1172
bu-7,electricity,5971.9,kWh,2025-02-08,MET-1055
bu-8,diesel,106.7,litres,2024-10-15,FUEL-1179
bu-6,electricity,2413.9,kWh,2024-09-15,MET-1029
bu-8,business_travel_air,6858,km,2025-05-12,TRV-1209
bu-7,diesel,1285.3,litres,2024-03-08,FUEL-1138
bu-8,electricity,3459,kWh,2024-07-22,MET-1069
bu-7,electricity,4912.3,kWh,2025-03-09,MET-1056
bu-8,electricity,3940.6,kWh,2025-01-12,MET-1075
bu-8,electricity,3435.1,kWh,2024-08-09,MET-1070
bu-6,diesel,107.5,litres,2024-10-15,FUEL-1130
bu-7,business_travel_air,5105,km,2024-02-12,TRV-1197
bu-5,electricity,4739.1,kWh,2025-04-24,MET-1015
bu-5,diesel,156,litres,2025-04-15,FUEL-1125
bu-5,natural_gas,248.3,m3,2024-03-22,GAS-1086
bu-4,purchased_goods_office_supplies,5468.37,GBP,2024-03-30,INV-1247
bu-2,purchased_goods_office_supplies,5361.37,GBP,2025-09-30,INV-1242
bu-3,purchased_goods_office_supplies,4827.95,GBP,2024-03-30,INV-1243
bu-7,electricity,5575.9,kWh,2024-10-19,MET-1051
bu-7,business_travel_air,3192,km,2024-05-12,TRV-1198
bu-5,diesel,147.2,litres,2025-01-15,FUEL-1124
bu-8,business_travel_air,9601,km,2024-11-12,TRV-1207
bu-6,electricity,2702.7,kWh,2024-05-10,MET-1025
bu-7,diesel,1003.4,litres,2024-11-22,FUEL-1155
bu-6,electricity,2821,kWh,2024-11-16,MET-1031
bu-7,diesel,1281.8,litres,2024-04-08,FUEL-1140
bu-7,diesel,1364.9,litres,2025-05-08,FUEL-1166
bu-5,electricity,4814.1,kWh,2025-09-16,MET-1020
bu-7,electricity,4921.3,kWh,2024-05-07,MET-1046
bu-7,business_travel_air,961,km,2024-09-21,TRV-1267
bu-8,purchased_goods_office_supplies,2302.07,GBP,2024-11-28,INV-1235
bu-7,business_travel_air,3342,km,2025-08-12,TRV-1203
bu-7,electricity,5241.7,kWh,2025-08-23,MET-1061
bu-6,purchased_goods_office_supplies,1194.22,GBP,2024-05-28,INV-1219
bu-8,purchased_goods_office_supplies,2525.59,GBP,2025-05-28,INV-1237
bu-8,diesel,94.2,litres,2025-01-15,FUEL-1180
bu-6,diesel,75.5,litres,2025-04-15,FUEL-1132
bu-5,purchased_goods_office_supplies,2644.74,GBP,2025-02-28,INV-1215
bu-8,business_travel_air,8828,km,2025-08-12,TRV-1210
bu-8,purchased_goods_office_supplies,2207.42,GBP,2024-02-28,INV-1232
bu-7,diesel,1058.8,litres,2025-06-22,FUEL-1169
bu-6,business_travel_air,2098,km,2024-09-21,TRV-1260
bu-7,natural_gas,188.9,m3,2024-03-19,GAS-1104
bu-7,diesel,1126.2,litres,2024-01-08,FUEL-1134
bu-8,electricity,3172.4,kWh,2025-04-07,MET-1078
bu-6,business_travel_air,1409,km,2025-01-17,TRV-1262
bu-8,electricity,3529.3,kWh,2024-09-20,MET-1071
bu-6,purchased_goods_office_supplies,1299.26,GBP,2024-11-28,INV-1221
bu-5,electricity,4773.3,kWh,2024-07-18,MET-1006
bu-6,business_travel_air,7262,km,2024-02-12,TRV-1190
bu-6,natural_gas,312.9,m3,2024-01-23,GAS-1093
bu-6,electricity,2700,kWh,2019-06-15,MET-1281
bu-7,natural_gas,189.3,m3,2024-10-23,GAS-1105
bu-8,diesel,126.7,litres,2024-04-15,FUEL-1177
bu-5,electricity,4655,kWh,2024-03-13,MET-1002
bu-7,electricity,6142.2,kWh,2024-12-16,MET-1053
bu-7,natural_gas,425.1,m3,2025-02-05,GAS-1109
bu-5,electricity,4.2,MWh,2024-04-11,MET-1279
bu-6,diesel,91.2,litres,2024-01-15,FUEL-1127
bu-5,business_travel_air,13830,km,2025-05-12,TRV-1188
bu-7,refrigerants_r410a,12.5,kg,2024-07-22,MAINT-1280
bu-7,electricity,5435.5,kWh,2024-04-08,MET-1045
bu-6,natural_gas,146,m3,2025-03-10,GAS-1101
bu-7,diesel,1208.6,litres,2024-06-22,FUEL-1145
bu-7,business_travel_air,4520,km,2025-02-12,TRV-1201
bu-4,purchased_goods_office_supplies,4144.93,GBP,2024-09-30,INV-1248
bu-5,business_travel_air,6276,km,2025-04-08,TRV-1256
bu-7,diesel,1245.5,litres,2024-01-22,FUEL-1135
bu-2,purchased_goods_office_supplies,5884.58,GBP,2024-03-30,INV-1239
bu-5,electricity,5563.7,kWh,2024-01-20,MET-1000
bu-8,natural_gas,354.1,m3,2024-12-07,GAS-1116
bu-5,natural_gas,422.9,m3,2025-01-18,GAS-1090
bu-7,business_travel_air,1205,km,2025-07-02,TRV-1271
bu-3,purchased_goods_office_supplies,3827.47,GBP,2024-09-30,INV-1244
bu-7,diesel,1102,litres,2024-11-08,FUEL-1154
bu-6,electricity,3216.2,kWh,2024-02-15,MET-1022
bu-5,natural_gas,487,m3,2025-02-08,GAS-1091
bu-7,diesel,1253.6,litres,2024-08-22,FUEL-1149
bu-6,business_travel_air,6736,km,2024-05-12,TRV-1191
bu-7,natural_gas,189.2,m3,2025-03-24,GAS-1110
bu-8,business_travel_air,9843,km,2024-02-12,TRV-1204
bu-8,electricity,3588.9,kWh,2025-07-21,MET-1081
bu-6,business_travel_air,4891,km,2024-08-12,TRV-1192
bu-6,diesel,81,litres,2025-01-15,FUEL-1131
bu-6,electricity,3204.4,kWh,2024-01-20,MET-1021
bu-6,business_travel_air,1974,km,2025-07-02,TRV-1264
bu-6,natural_gas,284.9,m3,2024-02-12,GAS-1094
bu-2,purchased_goods_office_supplies,5513.48,GBP,2024-09-30,INV-1240
bu-8,electricity,3330.7,kWh,2025-08-19,MET-1082
bu-7,purchased_goods_office_supplies,1615.94,GBP,2024-02-28,INV-1225
bu-5,diesel,179.8,litres,2025-07-15,FUEL-1126
bu-7,natural_gas,422.8,m3,2024-02-13,GAS-1103
bu-7,electricity,4952.2,kWh,2025-07-14,MET-1060
bu-6,electricity,2734.3,kWh,2024-10-09,MET-1030
bu-8,business_travel_air,3428,km,2024-03-18,TRV-1272
bu-6,natural_gas,147.3,m3,2024-10-10,GAS-1096
bu-5,natural_gas,443,m3,2024-12-20,GAS-1089
bu-8,business_travel_air,10441,km,2025-02-12,TRV-1208
bu-8,electricity,3487.9,kWh,2025-03-07,MET-1077
bu-7,electricity,5060.3,kWh,2024-03-11,MET-1044
bu-7,diesel,1388.7,litres,2025-03-08,FUEL-1162
bu-8,electricity,3776.5,kWh,2024-11-20,MET-1073
bu-8,business_travel_air,8186,km,2024-05-12,TRV-1205
bu-6,purchased_goods_office_supplies,1244.06,GBP,2024-02-28,INV-1218
bu-5,natural_gas,482.2,m3,2024-01-15,GAS-1084
bu-7,diesel,1282.4,litres,2024-12-22,FUEL-1157
bu-7,diesel,1207.1,litres,2024-02-22,FUEL-1137
bu-6,natural_gas,141.4,m3,2024-03-13,GAS-1095
bu-6,business_travel_air,2641,km,2025-04-08,TRV-1263
bu-5,electricity,4768.2,kWh,2025-08-08,MET-1019
bu-8,purchased_goods_office_supplies,2656.19,GBP,2024-08-28,INV-1234
